,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Sex_female
0,0,3,-0.5497370062565062,1,0,-0.4999583222338386,0,0,0
1,1,1,0.6648203236482798,1,0,0.7885027560515829,1,0,1
2,1,3,-0.24609767378030972,0,0,-0.4863761512721256,0,0,1
3,1,1,0.4370908242911324,1,0,0.42262321642474343,0,0,1
4,0,3,0.4370908242911324,0,0,-0.4838609344273639,0,0,0
5,0,3,-0.31133308754920963,0,0,-0.47564523012563437,0,1,0
6,0,1,1.8793776535530657,0,0,0.39772256966160274,0,0,0
7,0,3,-2.0679336686374885,3,1,-0.2217753392031975,0,0,0
8,1,3,-0.17018784066126058,0,2,-0.4218195896477346,0,0,1
9,1,2,-1.1570156712088993,1,0,-0.04076423766634099,1,0,1
10,1,3,-1.9161140023993906,1,1,-0.3098079287698561,0,0,1
11,1,1,2.183016986029262,0,0,-0.11160884140263616,0,0,1
12,0,3,-0.7015566724946045,0,0,-0.4838609344273639,0,0,0
13,0,3,0.7407301567673289,1,5,-0.016533644670644925,0,0,0
14,0,3,-1.1570156712088993,0,0,-0.4878007700929986,0,0,1
15,1,2,1.9552874866721148,0,0,-0.3238931431005215,0,0,1
16,0,3,-2.0679336686374885,4,1,-0.05979537440054569,0,1,0
17,1,2,0.048252576804960395,0,0,-0.38425834737480163,0,0,0
18,0,3,0.1334514918149359,1,0,-0.2836496735843347,0,0,1
19,1,3,-0.31133308754920963,0,0,-0.500461365602791,1,0,1
20,0,2,0.4370908242911324,0,0,-0.12267579551958754,0,0,0
21,1,2,0.3611809911720833,0,0,-0.38425834737480163,0,0,0
22,1,3,-1.0811058380898502,0,0,-0.48427946651033227,0,1,1
23,1,1,-0.09427800754221147,0,0,0.06848068468229969,0,0,0
24,0,3,-1.612474669923194,3,1,-0.2217753392031975,0,0,1
25,1,3,0.6648203236482798,1,5,-0.014269949510359405,0,0,1
26,0,3,-0.31133308754920963,0,0,-0.500461365602791,1,0,0
27,0,1,-0.7774665056136536,3,2,4.646175342148546,0,0,0
28,1,3,-0.31133308754920963,0,0,-0.48729772672404625,0,1,1
29,0,3,-0.31133308754920963,0,0,-0.4869637059270619,0,0,0
30,0,1,0.816639989886378,0,0,-0.08805031434786041,1,0,0
31,1,1,0.6728321114698664,1,0,2.3024117749136344,1,0,1
32,1,3,-0.31133308754920963,0,0,-0.4898974548547919,0,1,1
33,0,2,2.790295650981655,0,0,-0.4345626842700351,0,0,0
34,0,1,-0.09427800754221147,1,0,1.0075781432303248,1,0,0
35,0,1,0.9684596561244763,1,0,0.40048930819084066,0,0,0
36,1,3,-0.31133308754920963,0,0,-0.500376854316807,1,0,0
37,0,3,-0.6256468393755553,0,0,-0.4838609344273639,0,0,0
38,0,3,-0.8533763387327027,2,0,-0.2836496735843347,0,0,1
39,1,3,-1.1570156712088993,1,0,-0.4196383935999572,1,0,1
40,0,3,0.816639989886378,1,0,-0.4551874623970808,0,0,1
41,0,2,-0.17018784066126058,1,0,-0.2232844693100545,0,0,1
42,0,3,-0.31133308754920963,0,0,-0.4869637059270619,1,0,0
43,1,2,-1.9920238355184396,1,2,0.19080473462370104,1,0,1
44,1,3,-0.7774665056136536,0,0,-0.48729772672404625,0,1,1
45,0,3,-0.31133308754920963,0,0,-0.4838609344273639,0,0,0
46,0,3,-0.31133308754920963,1,0,-0.33395401047956813,0,1,0
47,1,3,-0.31133308754920963,0,0,-0.4898974548547919,0,1,1
48,0,3,-0.31133308754920963,2,0,-0.20961778706235742,1,0,0
49,0,3,-0.8533763387327027,1,0,-0.2876740205359533,0,0,1
50,0,3,-1.688384503042243,4,1,0.15274044898181577,0,0,0
51,0,3,-0.6256468393755553,0,0,-0.48889136811688727,0,0,0
52,1,1,1.49982848795782,1,0,0.8980837113706839,1,0,1
53,1,2,-0.018368174423162343,1,0,-0.12267579551958754,0,0,1
54,0,1,2.714385817862606,0,1,0.6012881236888062,1,0,0
55,1,1,0.6728321114698664,0,0,0.06848068468229969,0,0,0
56,1,2,-0.6256468393755553,0,0,-0.4345626842700351,0,0,1
57,0,3,-0.0563230909826869,0,0,-0.500376854316807,1,0,0
58,1,2,-1.8402041692803413,1,2,-0.08746275969292411,0,0,1
59,0,3,-1.3847451705660465,5,2,0.2978684609245643,0,0,0
60,0,3,-0.5497370062565062,0,0,-0.500376854316807,1,0,0
62,0,1,1.1961891554816237,1,0,1.03382090970183,0,0,0
63,0,3,-1.9161140023993906,3,2,-0.08444449947921012,0,0,0
64,0,1,0.6728321114698664,0,0,-0.08805031434786041,1,0,0
65,1,3,-0.31133308754920963,1,1,-0.3390689554550755,1,0,0
66,1,2,-0.018368174423162343,0,0,-0.4345626842700351,0,0,1
67,0,3,-0.7774665056136536,0,0,-0.4816817505530624,0,0,0
68,1,3,-0.9292861718517519,4,2,-0.4863761512721256,0,0,1
69,0,3,-0.24609767378030972,2,0,-0.4715363718880317,0,0,0
70,0,2,0.20936132493398504,0,0,-0.4345626842700351,0,0,0
71,0,3,-1.0051960049708009,5,2,0.2978684609245643,0,0,1
72,0,2,-0.6256468393755553,0,0,0.8331066054898486,0,0,0
73,0,3,-0.24609767378030972,1,0,-0.35499732068958223,1,0,0
74,1,3,0.20936132493398504,0,0,0.490952603316277,0,0,0
75,0,3,-0.32200750689935886,0,0,-0.4919096283306013,0,0,0
76,0,3,-0.31133308754920963,0,0,-0.4869637059270619,0,0,0
77,0,3,-0.31133308754920963,0,0,-0.4838609344273639,0,0,0
78,1,2,-2.1567481733867764,0,2,-0.06231059124530736,0,0,0
79,1,3,0.05754165869588678,0,0,-0.39482225812280064,0,0,1
80,0,3,-0.5497370062565062,0,0,-0.4647452864071752,0,0,0
81,1,3,-0.018368174423162343,0,0,-0.4546844190281285,0,0,0
82,1,3,-0.31133308754920963,0,0,-0.4891428898013634,0,1,1
83,0,1,-0.09427800754221147,0,0,0.30189280787618306,0,0,0
84,1,2,-0.9292861718517519,0,0,-0.4345626842700351,0,0,1
85,1,3,0.28527115805303416,3,0,-0.32691140331423546,0,0,1
86,0,3,-1.0051960049708009,1,3,0.045843733079444615,0,0,0
87,0,3,-0.31133308754920963,0,0,-0.4838609344273639,0,0,0
88,1,1,-0.4738271731374571,3,2,4.646175342148546,0,0,1
